"";"other";"chitinolytic"
"SCBI_006-M-9-11-20140618";0.944971643425484;0.0550283565745163
"SCBI_012-M-0-30-20140825";0.944699827307014;0.0553001726929862
"SCBI_012-M-15-33-20140618";0.939540407145917;0.0604595928540826
"SCBI_012-M-16-7-20140825";0.943119700660117;0.0568802993398829
"SCBI_012-M-21-38-20140715";0.947519397240301;0.0524806027596992
"SCBI_012-M-21-39-20140618";0.941140692827377;0.0588593071726227
"SCBI_012-M-23-28-20140825";0.942711639335;0.057288360665
"SCBI_012-M-2-33-20140618";0.941391284363866;0.0586087156361337
"SCBI_012-M-33-4-20140715";0.941514626421619;0.0584853735783813
"SCBI_033-M-36-16-20140826";0.94345184097232;0.0565481590276795
"SCBI_033-M-4-38-20140826";0.947118111857339;0.0528818881426606
"SCBI_033-M-6-12-20140826";0.94691932203651;0.0530806779634896
"SCBI_045-M-23-30-20140825";0.948165365069913;0.0518346349300865
"SCBI_045-M-30-38-20140825";0.947832183347623;0.0521678166523768
"STER_005-M-0-30-20140820";0.923254380647633;0.0767456193523672
"STER_005-M-16-7-20140820";0.91924934908804;0.0807506509119604
"STER_005-M-23-38-20140820";0.921876388006703;0.0781236119932971
"STER_006-M-1-6-20140722";0.936434678448936;0.0635653215510639
"STER_006-M-22-32-20140820";0.935185254190048;0.0648147458099522
"STER_006-M-30-37-20140820";0.936580980841364;0.0634190191586364
"STER_006-M-7-0-20140820";0.934024029080205;0.0659759709197949
"STER_006-M-7-5-20140722";0.935412897866471;0.0645871021335292
"STER_018-M-15-7-20140820";0.929533848488276;0.0704661515117237
"STER_018-M-4-7-20140820";0.935252509050058;0.0647474909499416
"STER_026-M-10-34-20140820";0.932159451214842;0.0678405487851583
"STER_026-M-11-0-20140722";0.934847735743655;0.0651522642563452
