"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"OSBS_003-M-9-11-20140818",0.0645886674500084,0.127524950490187,0.34632039622271,0.0976086194372361,0.363957366399859
"OSBS_022-M-15-33-20140701",0.0568537787333551,0.124171112737932,0.455658123289582,0.0794331630053065,0.283883822233824
"OSBS_022-M-21-39-20140701",0.0666098497084839,0.147755144158651,0.386554737597566,0.103229202730578,0.295851065804721
"SCBI_002-M-1-6-20140715",0.0657177749271771,0.228029443329406,0.269953537356025,0.0510634965629835,0.385235747824409
"SCBI_002-M-17-34-20140618",0.066830359719159,0.232351301944221,0.263440581199549,0.0530375666099251,0.384340190527146
"SCBI_002-M-26-3-20140618",0.0645182160081447,0.224137102906572,0.276010908092915,0.0493980261094126,0.385935746882956
"SCBI_002-M-29-2-20140618",0.0612607858728974,0.212318154472607,0.296553214104788,0.0444519068896842,0.385415938660024
"SCBI_002-M-7-5-20140715",0.0672518725443535,0.233346331312301,0.260623355810124,0.0539431688168609,0.38483527151636
"SCBI_002-M-9-17-20140715",0.0642316837674677,0.223235999984918,0.277510442118498,0.0491863486398808,0.385835525489236
"SCBI_003-M-11-0-20140715",0.0520138434074282,0.161478342345912,0.444752444881902,0.0423728507275802,0.299382518637177
"SCBI_003-M-13-6-20140618",0.0494661148015582,0.15352878626918,0.462655092384009,0.0386948833555547,0.295655123189698
"SCBI_003-M-27-36-20140715",0.0506787544089298,0.157993640203536,0.454664423653291,0.0403621412545418,0.296301040479701
"SCBI_003-M-30-5-20140715",0.0610480430533109,0.190843643252617,0.385389714411123,0.0566644999352814,0.306054099347668
"SCBI_003-M-35-24-20140618",0.0456845066328312,0.141734495273805,0.48917030376058,0.0336824665437078,0.289728227789076
"SCBI_003-M-5-26-20140618",0.0419539684959746,0.129671591133453,0.516368304063216,0.0290725930314647,0.282933543275892
"SCBI_006-M-1-7-20140715",0.0637866904035911,0.22233516538146,0.280282454152852,0.0476601081960567,0.38593558186604
"SCBI_006-M-15-7-20140827",0.0695889073504883,0.241160980237706,0.248812918515946,0.0567085925723731,0.383728601323486
"SCBI_006-M-17-9-20140618",0.0642109365251704,0.223748083999893,0.278258301292865,0.0481004024662853,0.385682275715786
