"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"ORNL_037",0.0931342882664912,0.13732718325026,0.0485120298019975,0.049495479519207,0.376731469437149,0.0733156594095732,0.0706692222154443,0.0545438243895663,0.038268313807539,0.0580025299027725
"ORNL_043",0.100514008341442,0.150366631325669,0.050818026930044,0.0490755156982212,0.340945723287868,0.0843376594989462,0.0712902622191062,0.0563238847413708,0.036926207229663,0.0594020807276699
"OSBS_001",0.0771423080097247,0.096074249368049,0.0350103724572151,0.0611599448008142,0.433717684539772,0.054196297744931,0.0949646659804302,0.0410766245259036,0.0447464602839731,0.0619113922891864
"OSBS_002",0.0571306280572752,0.0708343322025711,0.0214095420626217,0.038863321130261,0.549813614444444,0.0439373324634173,0.0797532329927647,0.0290795620501837,0.0525843586600677,0.0565940759363939
"OSBS_003",0.0926390224932114,0.118354177802222,0.0332340926261048,0.0729878676279867,0.341122470506162,0.0703178506907598,0.115163088844006,0.0465846062452951,0.0461461056825343,0.0634507174817182
"OSBS_022",0.0788602823359264,0.105076112019123,0.0435429823026767,0.0521274509236001,0.424944381584993,0.0685023579956756,0.0825682390633734,0.0393276347901038,0.0410844705784299,0.0639660884060987
"SCBI_002",0.126723486602328,0.223155845976237,0.0533636033185108,0.0380923930315252,0.155244956112342,0.217947289889847,0.0583609721169587,0.0472756340769074,0.028963624134404,0.05087219474094
"SCBI_003",0.0988362525710277,0.155920268176372,0.0450368756520473,0.0298035368786324,0.350777663504842,0.133055211844961,0.0523520537998228,0.0391749996759765,0.0395878179326729,0.0554553199636456
"SCBI_006",0.125878903188566,0.223403575037922,0.0531562063064822,0.0367501204938846,0.156094973033583,0.220696622350784,0.0575440700872672,0.0464118690564279,0.0290529600061842,0.0510107004388997
"SCBI_012",0.124844545590607,0.221528038006654,0.0516970082037221,0.0357258682877957,0.161628118537984,0.220278208705224,0.0572194872545725,0.045802112051356,0.0299431755558672,0.0513334378062169
