"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"DSNY_002-M-30-5-20140813",0.118441181043794,0.250888150178724,0.53061726260862,0.058841384901791,0.0192884335569847,0.0219235877100868
"DSNY_002-M-9-4-20140910",0.11786909250186,0.249123456729816,0.53265553089333,0.0588180422484009,0.0194413804330456,0.0220924971935477
"DSNY_003-M-1-7-20140813",0.117182654119641,0.257112409951687,0.52454716059056,0.0591985181523765,0.0191349152422683,0.0228243419434663
"DSNY_003-M-3-26-20140813",0.114466072021175,0.248872501938503,0.5435010551886,0.0546020882419629,0.0178747712595679,0.0206835113501917
"DSNY_003-M-33-0-20140813",0.111889778201134,0.241910219573902,0.556236229656839,0.0522217340243584,0.0176805914019333,0.0200614471418338
"DSNY_004-M-21-38-20140813",0.129826041194232,0.268777203768541,0.498623575995894,0.0604799798264868,0.0200724728220622,0.0222207263927846
"DSNY_009-M-2-0-20140813",0.124196641263441,0.263681342569053,0.503052173543322,0.0640242467368359,0.0206863523193247,0.0243592435680229
"DSNY_009-M-26-3-20140701",0.123820630038966,0.261587510738586,0.50727075448831,0.0628296013090368,0.0204853784154299,0.024006125009671
"DSNY_009-M-29-2-20140701",0.123408784808843,0.261587496175979,0.507850014558614,0.0627246375319239,0.0204912298452039,0.0239378370794363
"DSNY_009-M-33-11-20140910",0.123643080615476,0.261782069023255,0.507367767959692,0.062779917964718,0.0205132877310789,0.0239138767057799
"DSNY_009-M-39-30-20140813",0.122741013438645,0.260142622402998,0.5112009404889,0.0620490088643463,0.0202664866842297,0.0235999281208817
"DSNY_009-M-8-11-20140813",0.120959174459655,0.257145970876995,0.515688962594997,0.0626705721460781,0.0200724007507936,0.023462919171481
"DSNY_016-M-0-30-20140910",0.108435896579066,0.237287630111558,0.551310836985177,0.0601044864493072,0.0193400603692002,0.0235210895056919
"DSNY_016-M-16-7-20140910",0.109064204253758,0.237418000933404,0.550510269835359,0.0597910895596636,0.0195122095288166,0.0237042258889987
"DSNY_016-M-23-38-20140910",0.109230764855905,0.238152539195833,0.549307196206629,0.0602990564186467,0.0194545486113396,0.0235558947116467
"DSNY_016-M-35-24-20140701",0.109215524419823,0.237590812511042,0.550125561813865,0.0600201080446072,0.0194329384085665,0.0236150548020975
"DSNY_016-M-5-26-20140701",0.109482604590923,0.238440586497134,0.548371569169914,0.0603171324578812,0.0195749087417659,0.0238131985423817
"DSNY_016-M-6-12-20140813",0.108963450717856,0.239822578489631,0.542009108314428,0.0633268544440082,0.0203202879515939,0.0255577200824826
"DSNY_043-M-18-37-20140814",0.0958507233082416,0.211498051352643,0.60353734441328,0.0521905769679324,0.0169993640658002,0.0199239398921037
"DSNY_043-M-2-27-20140814",0.0788414067640452,0.178854027454205,0.665013493371655,0.045157467369166,0.0147369903014642,0.0173966147394643
"HARV_001-M-14-7-20140812",0.158229500892672,0.336644140672573,0.364068656485875,0.0811605296186125,0.0287178988383266,0.0311792734919406
"HARV_001-M-15-1-20140812",0.158874727152657,0.336466905334228,0.363606069343885,0.0808558313415843,0.0288105184314001,0.0313859483962455
"HARV_001-M-39-16-20140812",0.158336384117026,0.336431999356451,0.365068128686959,0.0806025291562977,0.0285969099734142,0.0309640487098526
"HARV_001-M-7-0-20140715",0.17412085995875,0.364591993987094,0.310561163125056,0.0830689466169269,0.0320476247374801,0.035609411574694
"HARV_001-O-14-7-20140812",0.158456185350212,0.335870019721318,0.364454957002428,0.0810885026201135,0.0288046861623022,0.0313256491436261
"HARV_001-O-15-1-20140812",0.159734922880375,0.337535862993489,0.361261823436252,0.0810145640423233,0.0290180622381463,0.031434764409414
