"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"HARV_010-O-39-30-20140715",0.0680165748825619,0.0981490594589128,0.0360783213527444,0.0323574032943504,0.517877896677139,0.0372291712014006,0.0666073222779113,0.0685232185760843,0.0322270555703718,0.042933976708524
"HARV_010-O-8-11-20140715",0.0580110118470218,0.0896182568380428,0.0334764835403779,0.0249661352934953,0.562746177085987,0.0369523488451763,0.0622833912090492,0.0616386773344832,0.0291330513728986,0.0411744666334676
"HARV_013-M-0-13-20140812",0.0998639982203254,0.13764698862626,0.0543010460159104,0.0467833827338081,0.37835600590997,0.0542987180900602,0.0641587104634634,0.0789015025655252,0.0363860455547074,0.0493036018199696
"HARV_013-M-14-6-20140812",0.0993562727179991,0.137639498486088,0.0543147034105286,0.0468370517299936,0.379909056136897,0.0537404974570181,0.0640865056853345,0.0784274861243002,0.0363566755491026,0.0493322527027388
"HARV_013-M-28-3-20140812",0.0995816248460524,0.137342619383545,0.0542421502672052,0.0467654041999387,0.379768511485409,0.0539149959455521,0.0642262232574675,0.0785963526980228,0.0362803027820991,0.0492818151347088
"HARV_013-O-14-6-20140812",0.100144121570071,0.138319698823975,0.0545624723379182,0.046942894937031,0.377366465551363,0.0540116471452381,0.0639893726878645,0.0792499308102446,0.036094685634439,0.0493187105018551
"HARV_013-O-15-7-20140717",0.097253285241603,0.136718116275511,0.0540263020814249,0.043982583066497,0.387328005498116,0.054419292257585,0.0636067686718256,0.0777330270566758,0.0355835761923673,0.0493490436583939
"HARV_013-O-28-3-20140812",0.0998629542762163,0.137692821991505,0.0544326907063815,0.0469147074050024,0.378408793157695,0.0543062017378314,0.0643324952896838,0.0785376236847013,0.0361479306533428,0.0493637810976409
"HARV_016-M-0-30-20140715",0.104935616492271,0.152847620985215,0.0631588212967104,0.0449122036375649,0.34745042232927,0.0657688882422641,0.0594029550200956,0.0778962695785922,0.0338686254263546,0.049758576991663
"HARV_016-M-16-7-20140715",0.102976095400122,0.147736873367248,0.059987591433312,0.0455783759608693,0.357617628876869,0.0617160803797727,0.0612063466331142,0.0792709319510435,0.0342304060896029,0.049679669908047
